BeeID,ColonyID_queen,ColonyID_workers,QueenID,MicrocolonyID,Treatment,Brood,Time.development.days,Behavioral.assay,Assays.response.summary,Assays.response,LearningTraining.summary,LearningTraining,LearningTest.summary,LearningTest,Sucrose.summary,Sucrose.response,Sucrose.conc.summary,Sucrose.conc,Survival.hours,Wing1.mm,Wing2.mm,Avg.mm,comments
Bee037,QP2,,MT030,QE010,Queen.reared,1stBrood,23,Learning,no,0,yes,1,no,0,,,,,24,2.4,2.4,2.4,
Bee038,QP2,BS03,MT006,WR002,Worker.reared,1stBrood,,,,,,,,,,,,,,,,,died
Bee039,QP2,,MT030,QE010,Queen.reared,1stBrood,26,Learning,no,0,yes,1,no,0,,,,,24,2.5,2.5,2.5,
Bee040,WP7,,MT035,QR002,Queen.reared,1stBrood,26,Learning,no,0,yes,1,no,0,,,,,27,2.9,2.9,2.9,
Bee041,WP7,BS04,MT014,WR005,Worker.reared,1stBrood,23,Learning,yes,1,yes,1,yes,1,,,,,27,2.8,2.8,2.8,
Bee042,WP7,BS04,MT014,WR005,Worker.reared,1stBrood,23,Learning,yes,1,yes,1,yes,1,,,,,24,2.9,2.9,2.9,
Bee043,WP9,,MT019,QR007,Queen.reared,1stBrood,27,Sucrose,yes,1,,,,,yes,1,25%,0.25,24,2.8,2.8,2.8,
Bee044,WP9,,MT019,QR007,Queen.reared,1stBrood,27,Learning,yes,1,yes,1,yes,1,,,,,48,2.7,2.7,2.7,
Bee045,WP7,BS05,MT026,WR009,Worker.reared,1stBrood,23,Learning,no,0,no,0,,,,,,,24,2.4,2.4,2.4,
Bee046,WP7,BS05,MT026,WR009,Worker.reared,1stBrood,23,Learning,yes,1,yes,1,yes,1,,,,,29,2.4,2.4,2.4,
Bee047,WP7,BS05,MT026,WR009,Worker.reared,1stBrood,23,Learning,no,0,yes,1,no,0,,,,,24,2.4,2.4,2.4,
Bee048,WP7,,MT025,QR009,Queen.reared,1stBrood,22,Learning,no,0,yes,1,no,0,,,,,34,2.5,2.5,2.5,
Bee049,WP7,,MT025,QR009,Queen.reared,1stBrood,22,Sucrose,yes,1,,,,,yes,1,20%,0.2,34,2.7,2.7,2.7,
Bee050,WP7,BS05,MT026,WR009,Worker.reared,1stBrood,23,Sucrose,no,0,,,,,no,0,,,24,2.5,2.5,2.5,
Bee051,WP7,BS05,MT026,WR009,Worker.reared,1stBrood,24,Sucrose,no,0,,,,,no,0,,,24,2.1,2.1,2.1,
Bee052,WP7,BS05,MT026,WR009,Worker.reared,1stBrood,24,Sucrose,no,0,,,,,no,0,,,24,2.1,2.1,2.1,
Bee053,WP7,BS04,MT014,WR005,Worker.reared,1stBrood,24,Sucrose,yes,1,,,,,yes,1,25%,0.25,30,2.5,2.5,2.5,
Bee054,WP7,BS04,MT014,WR005,Worker.reared,1stBrood,24,Sucrose,no,0,,,,,no,0,,,30,2.9,2.9,2.9,
Bee055,WP7,,MT025,QR009,Queen.reared,1stBrood,23,Learning,yes,1,yes,1,yes,1,,,,,23,2.7,2.7,2.7,
Bee056,WP9,,MT019,QR007,Queen.reared,1stBrood,23,Learning,yes,1,yes,1,yes,1,,,,,29,2.4,2.4,2.4,
Bee057,WP7,BS06,MT020,WR007,Worker.reared,1stBrood,25,Learning,yes,1,yes,1,yes,1,,,,,24,2.6,2.6,2.6,
Bee058,WP7,BS04,MT014,WR005,Worker.reared,1stBrood,24,Sucrose,yes,1,,,,,yes,1,50%,0.5,29,2.8,2.8,2.8,
Bee059,WP7,BS04,MT014,WR005,Worker.reared,1stBrood,24,Learning,yes,1,yes,1,yes,1,,,,,28,2.7,2.7,2.7,
Bee060,WP7,,MT013,QR005,Queen.reared,1stBrood,,,,,,,,,,,,,,,,,male
Bee061,WP7,,MT013,QR005,Queen.reared,1stBrood,,,,,,,,,,,,,,,,,male
Bee062,WP7,,MT013,QR005,Queen.reared,1stBrood,,,,,,,,,,,,,,,,,male
Bee063,WP7,BS05,MT026,WR009,Worker.reared,1stBrood,25,Learning,no,0,no,0,,,,,,,28,2.2,2.2,2.2,
Bee064,WP7,,MT022,QR008,Queen.reared,1stBrood,25,Sucrose,yes,1,,,,,yes,1,25%,0.25,28,2.8,2.8,2.8,
Bee065,WP7,BS04,MT011,WR004,Worker.reared,1stBrood,25,Sucrose,yes,1,,,,,yes,1,20%,0.2,28,2.8,2.8,2.8,
Bee066,WP7,,MT013,QR005,Queen.reared,1stBrood,,,,,,,,,,,,,,,,,male
Bee067,WP7,BS06,MT020,WR007,Worker.reared,1stBrood,26,Learning,no,0,yes,1,no,0,,,,,24,2.4,2.4,2.4,
Bee068,WP7,BS06,MT020,WR007,Worker.reared,1stBrood,26,Learning,yes,1,yes,1,yes,1,,,,,24,2.5,2.5,2.5,
Bee069,WP7,BS06,MT020,WR007,Worker.reared,1stBrood,26,Sucrose,no,0,,,,,no,0,,,24,2.5,2.5,2.5,
Bee070,WP7,BS06,MT020,WR007,Worker.reared,1stBrood,26,Sucrose,yes,1,,,,,yes,1,25%,0.25,24,2.5,2.5,2.5,
Bee071,WP7,,MT022,QR008,Queen.reared,1stBrood,26,Learning,yes,1,yes,1,yes,1,,,,,24,2.8,2.8,2.8,
